zone,electrodes,h2,lag,nwd,wd
pz_niz,C2-C3--C35-C36,"[0.03729050159212893, 0.07078583957121212, 0.1121924973234277, 0.06670079244047479, 0.07511061820672446, 0.06418336574521633, 0.029331167128639212, 0.05896769522628599, 0.22915067750554852, 0.07674362234604039, 0.13330266793394285]","[-76.0, -9.0, -9.0, 72.0, 94.0, 44.0, 73.0, 75.0, 53.0, -80.0, -81.0]",-0.09090909090909091,0.07341338304327436
pz_niz,C2-C3--C37-C38,"[0.06353019610604864, 0.06957180818813312, 0.035486181665600434, 0.050972209572184964, 0.03731118381950172, 0.0871126222946212, 0.18754457099196453, 0.06397787100117003, 0.08009696919753848, 0.06957253539224934, 0.076738556485826]","[-97.0, 93.0, -64.0, -75.0, -13.0, -97.0, 98.0, -62.0, 71.0, 98.0, -83.0]",-0.09090909090909091,-0.29754203472617613
pz_niz,C2-C3--C101-C102,"[0.3043266132481973, 0.3760094414692304, 0.19005769319745264, 0.06246925818976714, 0.05433726722643151, 0.07989010092491505, 0.1232119887130261, 0.03843171603368379, 0.14959152888697996, 0.07537610818919632, 0.06512834740554659]","[-67.0, -95.0, 88.0, -43.0, -21.0, -37.0, -78.0, 11.0, 11.0, 6.0, -26.0]",0.2727272727272727,0.28320469753066174
pz_niz,C2-C3--C113-C114,"[0.307648678588214, 0.2794095862869166, 0.2693183753412999, 0.06228793408164346, 0.013033739774574758, 0.03943246200786261, 0.07838653278361048, 0.017746067851343927, 0.02997301893341646, 0.01848174817062348, 0.04089576159405975]","[-92.0, 96.0, -15.0, 74.0, 3.0, -90.0, -87.0, 98.0, 82.0, -33.0, 11.0]",-0.09090909090909091,0.2706924500224868
pz_niz,C5-C6--C33-C34,"[0.06806311246142172, 0.0455034990921884, 0.07884846205497349, 0.050781756629836416, 0.03945002627072133, 0.10808253020200224, 0.1441618148532654, 0.14869831296352856, 0.14470005330401325, 0.037544345482033246, 0.10579766126324658]","[15.0, 15.0, 1.0, -98.0, 14.0, 19.0, -98.0, 11.0, -98.0, 83.0, -30.0]",0.09090909090909091,0.21313363498773163
pz_niz,C5-C6--C35-C36,"[0.07708568543482676, 0.0885286365998313, 0.28026271435725797, 0.07387468378486363, 0.06201116792284264, 0.05960446250370629, 0.0900552072705397, 0.06055828599652129, 0.26921590137553436, 0.16374179196824884, 0.0767406938074758]","[-98.0, 63.0, 69.0, -63.0, 98.0, -41.0, -43.0, -12.0, -28.0, -6.0, -97.0]",0.45454545454545453,0.6325607592210349
pz_niz,C5-C6--C37-C38,"[0.12743145614281864, 0.1559387182947412, 0.08883023631189975, 0.01965864063976489, 0.05763745996876122, 0.08266140977371257, 0.12120427999606936, 0.16466674034386497, 0.09735629760292708, 0.2059588895014327, 0.18265519029769112]","[85.0, 75.0, -64.0, -97.0, 98.0, -8.0, -98.0, -66.0, 57.0, 75.0, 90.0]",-0.09090909090909091,-0.03285697833620125
pz_niz,C5-C6--C101-C102,"[0.2242087154620554, 0.24349014160483332, 0.5758246424191351, 0.0774136526213999, 0.043312874887869106, 0.0819716388550403, 0.022982306345161876, 0.03985352144201964, 0.045196272524116704, 0.13546473367038356, 0.2840134445618163]","[98.0, 82.0, -98.0, -97.0, -98.0, 98.0, 98.0, 68.0, -91.0, -25.0, -37.0]",0.2727272727272727,0.5125754305590766
pz_niz,C5-C6--C113-C114,"[0.38765942482959503, 0.08793699887817706, 0.5863721974616661, 0.2921413983137106, 0.03882009567641964, 0.01695012743215706, 0.022867641500687295, 0.008087501879127408, 0.02139840612517404, 0.0312378499697079, 0.04209219884499532]","[-98.0, 95.0, -4.0, -66.0, 48.0, 75.0, 9.0, 28.0, 85.0, -94.0, -89.0]",0.09090909090909091,0.05219688746596782
pz_niz,C11-C12--C33-C34,"[0.07546172124929076, 0.332575889102578, 0.14094664801233986, 0.1748649192834078, 0.09355369072193004, 0.4358673699549857, 0.38028001378898807, 0.1588376760138045, 0.280190273005491, 0.10084005896430663, 0.1251670262724263]","[61.0, -98.0, 98.0, 98.0, 53.0, 98.0, 87.0, 36.0, 57.0, -50.0, -52.0]",-0.45454545454545453,-0.5139767250302444
