zone,electrodes,h2,lag,nwd,wd
ez_niz,C16-C17--C112-C113,"[0.07152055339213219, 0.05974949701363202, 0.0591372141120549, 0.03996449618374813, 0.03263123111657587, 0.04829402305780619, 0.04558400300782375, 0.03476201103577215, 0.04341981877920317, 0.05670550728805363, 0.04201746159039405, 0.04006974233075703, 0.03251983624463942, 0.05041679078045443, 0.03887133915888901, 0.033625679707189916, 0.0478508516723602, 0.05746640706982977, 0.05300151483907051, 0.04858670678152182, 0.047409163731635916, 0.05091543423166792, 0.04379412892241989, 0.03790212447232202, 0.03616405626544173, 0.05115124150139097, 0.039352812601264574, 0.04303748979523983, 0.03180517817790464, 0.044871656647737124, 0.039719298642292095, 0.04230150463339687, 0.029894705802558832, 0.0354904436672132, 0.033001531193137645]","[-27.0, 148.0, -148.0, -148.0, 34.0, 26.0, -99.0, -114.0, -145.0, 11.0, 77.0, -3.0, 76.0, -65.0, -66.0, -65.0, -81.0, -81.0, -83.0, 113.0, 16.0, 15.0, 82.0, 48.0, 35.0, 14.0, -91.0, -92.0, -105.0, -104.0, -131.0, -148.0, -120.0, 103.0, 105.0]",-0.2571428571428571,-0.19923190664705798
ez_niz,C16-C17--C101-C102,"[0.06286982242633413, 0.047510584830871144, 0.0425199682011797, 0.041332976155638884, 0.04217975370017312, 0.05798750476274437, 0.051595616263170246, 0.048071134960750675, 0.05116400845031007, 0.05379530022551496, 0.0373864946748516, 0.03597225156315711, 0.037327329684368395, 0.03952027400361892, 0.04487073964681259, 0.0682118601216718, 0.06430992063372977, 0.061072761347445416, 0.06177131097354895, 0.1329679010620064, 0.08587680937697145, 0.08153150736213749, 0.07581510786561167, 0.12041448322716825, 0.0748591295082795, 0.08971534666179211, 0.06945590947623467, 0.0409322600829118, 0.023341753004958013, 0.043278483009883975, 0.039496129923337904, 0.03705205064264559, 0.04953909374772955, 0.06586570320953156, 0.059197751314777274]","[140.0, 139.0, 136.0, -135.0, 88.0, 135.0, 90.0, -2.0, 22.0, 22.0, 101.0, -118.0, -63.0, -64.0, -119.0, 93.0, 93.0, 80.0, 80.0, 91.0, 133.0, 133.0, 120.0, -4.0, -4.0, -3.0, -3.0, -124.0, -83.0, 28.0, 28.0, 28.0, -15.0, -15.0, 127.0]",-0.02857142857142857,-0.05920333750812851
ez_niz,C16-C17--C36-C37,"[0.08416090045795907, 0.08489768941034094, 0.03178485047018159, 0.02836543123595884, 0.04729334257710624, 0.0338653289891005, 0.02439316374052168, 0.011675684982079753, 0.043736516562081156, 0.039597083083898504, 0.025499442684443072, 0.025808730814662457, 0.025681620186424843, 0.03331651734606759, 0.03508391809826807, 0.022068590878271913, 0.02085088235590141, 0.09262789017583789, 0.07817532798841899, 0.07089434766878068, 0.06810026096423512, 0.05563625219339167, 0.027711055105612045, 0.031250261291022534, 0.026323952937104846, 0.02199978067601749, 0.02489875892978754, 0.015233817091623159, 0.02203244880938481, 0.022378878312650532, 0.02575206583559736, 0.021960088536019964, 0.025218699841285542, 0.020143876465252075, 0.01990115101251528]","[-1.0, -1.0, -20.0, -79.0, -10.0, -9.0, 73.0, 142.0, -1.0, -1.0, -15.0, -64.0, -1.0, -82.0, -84.0, -148.0, -148.0, 14.0, 14.0, 14.0, 15.0, 15.0, 76.0, 76.0, 76.0, -53.0, 138.0, 123.0, -3.0, 4.0, 115.0, 89.0, 68.0, -119.0, 130.0]",-0.14285714285714285,-0.46968545475269097
ez_niz,C16-C17--C33-C34,"[0.129805729650721, 0.11293844968026315, 0.07537527106567596, 0.06275898899284045, 0.05331451958257865, 0.054340326171469465, 0.03878129603135244, 0.051188621171291096, 0.11606542780710204, 0.10114915768408592, 0.12372462583468309, 0.12522203388567382, 0.0950143043292905, 0.09433466950353414, 0.06971348506662557, 0.05908229355286953, 0.043849246322073085, 0.05466405618453275, 0.053693258573081604, 0.0536642134252707, 0.07403687309229266, 0.0764958327141343, 0.08021778048191959, 0.0750867325850861, 0.0701559527882872, 0.044186948447943165, 0.03758430766974351, 0.03752733490719474, 0.03419333999419545, 0.03398828281927251, 0.02503046220564395, 0.05587331981196746, 0.04750011081353286, 0.03494642343309802, 0.03455987623552391]","[-26.0, -40.0, -54.0, -53.0, 5.0, 15.0, -57.0, -58.0, -45.0, -44.0, -15.0, -15.0, -16.0, 15.0, 15.0, -139.0, -63.0, -64.0, -140.0, 24.0, -37.0, 37.0, -39.0, -40.0, 124.0, -128.0, 10.0, 142.0, 143.0, 64.0, 102.0, 0.0, 1.0, 1.0, -148.0]",0.17142857142857143,0.1902167000268944
ez_niz,C15-C16--C112-C113,"[0.02843038277674917, 0.025491780494266016, 0.02730524904919435, 0.02404144969150819, 0.02843707473046933, 0.021142826179043603, 0.016673141197549826, 0.016360705714632162, 0.013439835140376999, 0.011370147078554514, 0.021372827885148746, 0.016331302075486262, 0.01891151125362736, 0.017247694574592097, 0.03556489029614299, 0.02648313399092109, 0.022661320871160115, 0.09197729187817996, 0.07638744615960116, 0.06895261753037762, 0.06463087296267075, 0.05334197245729961, 0.025858937102265726, 0.024047241158648664, 0.026048329736465977, 0.027645614792900813, 0.02113123276763348, 0.02155996405606485, 0.035953051968051875, 0.023775222231444765, 0.019827417798006675, 0.01868627282555707, 0.02792005612914509, 0.020622703513915673, 0.03156807117850562]","[9.0, 9.0, 129.0, -50.0, 19.0, 126.0, 55.0, -41.0, -43.0, -42.0, 28.0, -41.0, 24.0, 87.0, 64.0, -38.0, -86.0, 14.0, 14.0, 14.0, 15.0, 15.0, -83.0, 76.0, 17.0, -43.0, 148.0, -46.0, -46.0, -58.0, -4.0, -58.0, -119.0, -119.0, 130.0]",-0.4857142857142857,-0.5567885947682673
ez_niz,C15-C16--C101-C102,"[0.08416090045795907, 0.08489768941034094, 0.03178485047018159, 0.02836543123595884, 0.04729334257710624, 0.0338653289891005, 0.02439316374052168, 0.011675684982079753, 0.043736516562081156, 0.039597083083898504, 0.025499442684443072, 0.025808730814662457, 0.025681620186424843, 0.03331651734606759, 0.03508391809826807, 0.022068590878271913, 0.02085088235590141, 0.09262789017583789, 0.07817532798841899, 0.07089434766878068, 0.06810026096423512, 0.05563625219339167, 0.027711055105612045, 0.031250261291022534, 0.026323952937104846, 0.02199978067601749, 0.02489875892978754, 0.015233817091623159, 0.02203244880938481, 0.022378878312650532, 0.02575206583559736, 0.021960088536019964, 0.025218699841285542, 0.020143876465252075, 0.01990115101251528]","[-1.0, -1.0, -20.0, -79.0, -10.0, -9.0, 73.0, 142.0, -1.0, -1.0, -15.0, -64.0, -1.0, -82.0, -84.0, -148.0, -148.0, 14.0, 14.0, 14.0, 15.0, 15.0, 76.0, 76.0, 76.0, -53.0, 138.0, 123.0, -3.0, 4.0, 115.0, 89.0, 68.0, -119.0, 130.0]",-0.14285714285714285,-0.46968545475269097
ez_niz,C15-C16--C36-C37,"[0.0400068602636707, 0.03231572608207769, 0.04997162871716427, 0.043480573969958386, 0.06902020841687583, 0.08562990051141485, 0.11554621950242959, 0.06883740730170287, 0.07191518801630568, 0.04518786159302026, 0.038403855332193336, 0.053075013247304036, 0.05453037433097451, 0.06234558691095557, 0.06696596797521073, 0.04853789488041304, 0.03676438647666846, 0.0504736766425419, 0.03566272834197227, 0.038961416404267445, 0.037281525236060514, 0.03612281627555937, 0.029809312625473417, 0.0380970722311923, 0.041660125658411325, 0.03707797406644565, 0.043084842028748495, 0.04048911359552103, 0.0282214426948568, 0.03280904416453327, 0.03286454937220085, 0.03339229553403208, 0.036692544860803485, 0.03910479496724658, 0.04816149649299427]","[46.0, 46.0, 30.0, 30.0, -30.0, 30.0, 29.0, -28.0, 27.0, 147.0, 146.0, 148.0, -24.0, 23.0, 34.0, 33.0, -6.0, -119.0, 90.0, 121.0, 122.0, 121.0, 66.0, -47.0, 35.0, 48.0, -115.0, -134.0, -135.0, -135.0, -68.0, -90.0, -79.0, -102.0, 116.0]",-0.3142857142857143,-0.3714048801929036
ez_niz,C15-C16--C33-C34,"[0.9180304236663793, 0.9132721053232357, 0.9223398722725318, 0.9453540527895969, 0.9615144043974403, 0.9602278471307848, 0.9594131028493058, 0.9667573380092278, 0.9403036073595912, 0.9344131807541819, 0.912361049806129, 0.9134521037730646, 0.9075231818584236, 0.9266244475325108, 0.9301876224935927, 0.9550174717140217, 0.9553149591935249, 0.8737929745932229, 0.8739662460374147, 0.8773266424879625, 0.8796351206616364, 0.8805471710066483, 0.9156249609859416, 0.9302018138332623, 0.9267927447909161, 0.9286562140975113, 0.9319502866767329, 0.932308639087448, 0.9278467910379702, 0.9367622619496417, 0.9266285623748923, 0.9275066208585954, 0.9320316277096036, 0.9344379168178436, 0.9317952290192537]","[-10.0, -10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.05714285714285714,-1.0
ez_niz,C13-C14--C112-C113,"[0.129805729650721, 0.11293844968026315, 0.07537527106567596, 0.06275898899284045, 0.05331451958257865, 0.054340326171469465, 0.03878129603135244, 0.051188621171291096, 0.11606542780710204, 0.10114915768408592, 0.12372462583468309, 0.12522203388567382, 0.0950143043292905, 0.09433466950353414, 0.06971348506662557, 0.05908229355286953, 0.043849246322073085, 0.05466405618453275, 0.053693258573081604, 0.0536642134252707, 0.07403687309229266, 0.0764958327141343, 0.08021778048191959, 0.0750867325850861, 0.0701559527882872, 0.044186948447943165, 0.03758430766974351, 0.03752733490719474, 0.03419333999419545, 0.03398828281927251, 0.02503046220564395, 0.05587331981196746, 0.04750011081353286, 0.03494642343309802, 0.03455987623552391]","[-26.0, -40.0, -54.0, -53.0, 5.0, 15.0, -57.0, -58.0, -45.0, -44.0, -15.0, -15.0, -16.0, 15.0, 15.0, -139.0, -63.0, -64.0, -140.0, 24.0, -37.0, 37.0, -39.0, -40.0, 124.0, -128.0, 10.0, 142.0, 143.0, 64.0, 102.0, 0.0, 1.0, 1.0, -148.0]",0.17142857142857143,0.1902167000268944
ez_niz,C13-C14--C101-C102,"[0.06879112697848447, 0.0354531487045979, 0.03753450584672944, 0.0342589086719417, 0.050503019447179255, 0.032901826433889114, 0.047008390485082145, 0.04032861348483361, 0.03614613415979148, 0.04215597342809735, 0.061179606800310565, 0.05614502274341587, 0.03667602305154277, 0.03493902047266733, 0.031763564324079736, 0.05254238279120507, 0.06106755092675382, 0.05406063927799667, 0.03479109948219888, 0.03996407869713353, 0.03927378295378511, 0.03302014441080637, 0.04870971579036971, 0.04038948493350862, 0.058373110967850764, 0.031193573406817734, 0.023657708268433993, 0.028047507216934765, 0.021287082048183307, 0.028193563116940348, 0.032953902531972015, 0.0326179204336088, 0.03881158860880173, 0.0869118539015302, 0.04994198601745544]","[-104.0, -103.0, 98.0, 62.0, 59.0, 60.0, -86.0, -93.0, 42.0, 6.0, -137.0, -136.0, -136.0, 134.0, -3.0, 46.0, -45.0, -45.0, -45.0, 141.0, -128.0, -130.0, -118.0, 118.0, 23.0, 123.0, 127.0, 84.0, 22.0, -93.0, -93.0, 67.0, -92.0, -93.0, 112.0]",0.42857142857142855,0.474901064082347
ez_niz,C13-C14--C36-C37,"[0.029171926536558913, 0.02023371648130296, 0.018511399521918548, 0.014591546461276035, 0.025802707573264232, 0.033603864155009995, 0.03655786752145613, 0.0508557992062001, 0.04055040005497165, 0.03418861978186101, 0.04536776928346788, 0.05132073719785745, 0.04115936809219237, 0.05345133771224585, 0.04841856961329895, 0.04384811981951408, 0.10331339147252798, 0.3332821108289979, 0.33867076116597095, 0.3419159874109445, 0.12836150722334289, 0.12622341877367685, 0.015181810837667438, 0.01669155926588064, 0.015518120216347455, 0.0306981911892477, 0.03835984696545341, 0.04015209577037759, 0.051006000096361734, 0.06011512042543564, 0.054620078219813954, 0.059486026531914656, 0.03788703451138902, 0.023305467240249095, 0.04316575361656409]","[84.0, 84.0, 5.0, 122.0, 121.0, -89.0, 141.0, -89.0, 11.0, 81.0, 123.0, 123.0, -123.0, 113.0, 112.0, 119.0, -147.0, 18.0, 18.0, 18.0, 18.0, 18.0, -137.0, 73.0, 130.0, -40.0, -63.0, 53.0, -77.0, 67.0, 94.0, 94.0, -58.0, 29.0, -118.0]",0.14285714285714285,0.4568211389677863
ez_niz,C13-C14--C33-C34,"[0.02066728405646726, 0.01401715785461174, 0.016606687430260267, 0.014358672288438946, 0.01195892776923153, 0.009460562508010093, 0.013362989738962817, 0.026763356281038587, 0.017209194396490688, 0.01224551544450211, 0.01945317468885262, 0.026173871817277306, 0.035413564073839436, 0.03754437921550642, 0.017062902608684847, 0.042718228690736326, 0.043817216326033595, 0.02696057118417347, 0.026159726480424618, 0.03152174327704685, 0.02426378489498752, 0.025742265993075632, 0.012684582233515429, 0.01737542971196884, 0.016526875177780186, 0.014210450996639297, 0.014873316621137066, 0.04231306988800096, 0.0413964972676885, 0.029544808619520607, 0.03659431136337797, 0.03235167639733304, 0.027784813405366888, 0.018873016457849435, 0.029337910001459872]","[-28.0, 32.0, -28.0, -27.0, 145.0, -76.0, 146.0, 57.0, 106.0, 94.0, -23.0, 68.0, 118.0, 56.0, 32.0, 94.0, -13.0, -1.0, 0.0, -1.0, -52.0, -53.0, -77.0, 132.0, 132.0, -18.0, -18.0, -121.0, 28.0, -28.0, -29.0, -28.0, 94.0, 92.0, 76.0]",-0.22857142857142856,-0.23199385105004566
pz_niz,C80-C81--C112-C113,"[0.0679313384533856, 0.049880490910106656, 0.0728568523405025, 0.08691193874707324, 0.05797123997231649, 0.04608845158652939, 0.03718353362962654, 0.05190390395908964, 0.03803046525954868, 0.04424953220686001, 0.041101830239495804, 0.07515251331998216, 0.19737218451220084, 0.2639845523480244, 0.33403108971221185, 0.47367872964422014, 0.45850892533788884, 0.22943136489802646, 0.2125659279628633, 0.1632523685963798, 0.08688022854474971, 0.06555651925491388, 0.07676700350856798, 0.07716995222997161, 0.07319351131719729, 0.06326462644056381, 0.16439865384352043, 0.18831750955852616, 0.23556930462684159, 0.29517896578845637, 0.34717970234664014, 0.32554216799410096, 0.35139957514402465, 0.35071351905991555, 0.38104712321815587]","[68.0, -70.0, 91.0, -91.0, 48.0, -46.0, 143.0, 118.0, 131.0, 130.0, 140.0, -2.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, 0.0, -1.0, 0.0, -11.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0]",0.0,-0.3724576982184088
pz_niz,C80-C81--C101-C102,"[0.0567373484060076, 0.03958973896667442, 0.04184958759016356, 0.08351158022323175, 0.1300604925680004, 0.13052252083862056, 0.13360754163192468, 0.0956301587894319, 0.07147369498423332, 0.040988666889901056, 0.11098218065635852, 0.04222317606145269, 0.06405825915457078, 0.08835131309479076, 0.09280472861131277, 0.09596405183388744, 0.09284369503715885, 0.06052195099704575, 0.06253991035739288, 0.05705874596338414, 0.05168968162236981, 0.043818605561715775, 0.04969501419906335, 0.03305517955322941, 0.022374207523000712, 0.02671057486734463, 0.034094299915047185, 0.03500543682894473, 0.046867465011613464, 0.05531735266913335, 0.0479311091839124, 0.04892392418179076, 0.03917442638547479, 0.053461142195721435, 0.15903751468546423]","[-58.0, -76.0, 107.0, 0.0, 0.0, -1.0, 1.0, -1.0, -1.0, 1.0, -26.0, -26.0, 12.0, -1.0, 82.0, -1.0, -1.0, 0.0, 87.0, 15.0, -12.0, -137.0, -136.0, -126.0, -125.0, 28.0, 76.0, 6.0, 112.0, 114.0, 114.0, 114.0, 115.0, -58.0, 1.0]",-0.11428571428571428,-0.03568819317915218
